family,contrast,n,mean,eb_lower,eb_upper,simultaneous_comparisons,alpha,value_left,value_right,equivalence_1pp,role
mixed,recursion_dividend,4096,-0.0006483793258666992,-0.008405037863522473,0.007108279211789075,3,0.05,0.7462352514266968,0.7468836307525635,True,prespecified
mixed,recursive_gain,4096,0.05547797679901123,0.045835808008196505,0.06512014558982596,9,0.05,0.7462352514266968,0.6907572746276855,,prespecified
mixed,fixed_gain,4096,0.05612635612487793,0.04649428442355409,0.06575842782620177,9,0.05,0.7468836307525635,0.6907572746276855,,prespecified
mixed,random_gain,4096,0.06985139846801758,0.06055460038877103,0.07914819654726413,9,0.05,0.7606086730957031,0.6907572746276855,,prespecified
mixed,recursive_minus_random,4096,-0.014373421669006348,-0.022725072073207266,-0.00602177126480543,3,0.05,0.7462352514266968,0.7606086730957031,,posthoc_descriptive_bound
xor,recursion_dividend,4096,-0.00020647048950195312,-0.007709260502440104,0.007296319523436198,3,0.05,0.6644471883773804,0.6646536588668823,True,prespecified
xor,recursive_gain,4096,0.040781617164611816,0.031206419932470027,0.0503568143967536,9,0.05,0.6644471883773804,0.6236655712127686,,prespecified
xor,fixed_gain,4096,0.04098808765411377,0.031416608841964885,0.050559566466262654,9,0.05,0.6646536588668823,0.6236655712127686,,prespecified
xor,random_gain,4096,0.05933380126953125,0.04991578088608637,0.06875182165297612,9,0.05,0.6829993724822998,0.6236655712127686,,prespecified
xor,recursive_minus_random,4096,-0.018552184104919434,-0.027022528785045907,-0.01008183942479296,3,0.05,0.6644471883773804,0.6829993724822998,,posthoc_descriptive_bound
logic,recursion_dividend,4096,0.0005842447280883789,-0.007248514733052583,0.008417004189229341,3,0.05,0.7835915088653564,0.7830072641372681,True,prespecified
logic,recursive_gain,4096,0.06212639808654785,0.05235099850177134,0.07190179767132436,9,0.05,0.7835915088653564,0.7214651107788086,,prespecified
logic,fixed_gain,4096,0.06154215335845947,0.051804121949389124,0.07128018476752983,9,0.05,0.7830072641372681,0.7214651107788086,,prespecified
logic,random_gain,4096,0.0776824951171875,0.06828270618578107,0.08708228404859393,9,0.05,0.7991476058959961,0.7214651107788086,,prespecified
logic,recursive_minus_random,4096,-0.015556097030639648,-0.02402540888170488,-0.007086785179574416,3,0.05,0.7835915088653564,0.7991476058959961,,posthoc_descriptive_bound
